ID,Title,Related requirements,Category,Severity,Resource type,AWS Config rule,Schedule type,Parameters,Description
Account.1,Security contact information should be provided for an AWS account.,"NIST.800-53.r5 CM-2, NIST.800-53.r5 CM-2(2)",Identify > Resource Configuration,Medium,AWS::::Account,security-account-information-provided,Periodic,None," This control checks if an Amazon Web Services (AWS) account has security contact information. The control fails if security contact information is not provided for the account. Alternate security contacts allow AWS to contact another person about issues with your account in case you're unavailable. Notifications can be from AWS Support, or other AWS service teams about security-related topics associated with your AWS account usage."
Account.2,AWS accounts should be part of an AWS Organizations organization,"NIST.800-53.r5 CA-9(1), NIST.800-53.r5 CM-2",Protect > Secure access management > Access control,High,AWS::::Account,account-part-of-organizations,Periodic,None," This control checks if an AWS account is part of an organization managed through AWS Organizations. The control fails if the account is not part of an organization. Organizations helps you centrally manage your environment as you scale your workloads on AWS. You can use multiple AWS accounts to isolate workloads that have specific security requirements, or to comply with frameworks such as HIPAA or PCI. By creating an organization, you can administer multiple accounts as a single unit and centrally manage their access to AWS services, resources, and Regions."
ACM.1,Imported and ACM-issued certificates should be renewed after a specified time period,"NIST.800-53.r5 SC-28(3), NIST.800-53.r5 SC-7(16)",Protect > Data protection > Encryption of data in transit,Medium,AWS::ACM::Certificate,acm-certificate-expiration-check,Change triggered,," This control checks whether an AWS Certificate Manager (ACM) certificate is renewed within the specified time period. It checks both imported certificates and certificates provided by ACM. The control fails if the certificate isn't renewed within the specified time period. Unless you provide a custom parameter value for the renewal period, Security Hub uses a default value of 30 days. ACM can automatically renew certificates that use DNS validation. For certificates that use email validation, you must respond to a domain validation email. ACM doesn't automatically renew certificates that you import. You must renew imported certificates manually."
ACM.2,"RSA certificates managed by ACM should use a key length of at least 2,048 bits",,Identify > Inventory > Inventory services,High,AWS::ACM::Certificate,acm-certificate-rsa-check,Change triggered,None," This control checks whether RSA certificates managed by AWS Certificate Manager use a key length of at least 2,048 bits. The control fails if the key length is smaller than 2,048 bits. The strength of encryption directly correlates with key size. We recommend key lengths of at least 2,048 bits to protect your AWS resources as computing power becomes less expensive and servers become more advanced."
APIGateway.1,API Gateway REST and WebSocket API execution logging should be enabled,"NIST.800-53.r5 AC-4(26), NIST.800-53.r5 AU-10, NIST.800-53.r5 AU-12, NIST.800-53.r5 AU-2, NIST.800-53.r5 AU-3, NIST.800-53.r5 AU-6(3), NIST.800-53.r5 AU-6(4), NIST.800-53.r5 CA-7, NIST.800-53.r5 SC-7(9), NIST.800-53.r5 SI-7(8)",Identify > Logging,Medium,"AWS::ApiGateway::Stage   ,   AWS::ApiGatewayV2::Stage",api-gw-execution-logging-enabled,Change triggered,," This control checks whether all stages of an Amazon API Gateway REST or WebSocket API have logging enabled. The control fails if the   loggingLevel   isn't   ERROR   or   INFO   for all stages of the API. Unless you provide custom parameter values to indicate that a specific log type should be enabled, Security Hub produces a passed finding if the logging level is either   ERROR   or   INFO   . API Gateway REST or WebSocket API stages should have relevant logs enabled. API Gateway REST and WebSocket API execution logging provides detailed records of requests made to API Gateway REST and WebSocket API stages. The stages include API integration backend responses, Lambda authorizer responses, and the   requestId   for AWS integration endpoints."
APIGateway.2,API Gateway REST API stages should be configured to use SSL certificates for backend authentication,"NIST.800-53.r5 AC-17(2), NIST.800-53.r5 AC-4, NIST.800-53.r5 IA-5(1), NIST.800-53.r5 SC-12(3), NIST.800-53.r5 SC-13, NIST.800-53.r5 SC-23, NIST.800-53.r5 SC-23(3), NIST.800-53.r5 SC-7(4), NIST.800-53.r5 SC-8, NIST.800-53.r5 SC-8(1), NIST.800-53.r5 SC-8(2), NIST.800-53.r5 SI-7(6)",Protect > Data protection,Medium,AWS::ApiGateway::Stage,api-gw-ssl-enabled,Change triggered,None, This control checks whether Amazon API Gateway REST API stages have SSL certificates configured. Backend systems use these certificates to authenticate that incoming requests are from API Gateway. API Gateway REST API stages should be configured with SSL certificates to allow backend systems to authenticate that requests originate from API Gateway.
APIGateway.3,API Gateway REST API stages should have AWS X-Ray tracing enabled,NIST.800-53.r5 CA-7,Detect > Detection services,Low,AWS::ApiGateway::Stage,api-gw-xray-enabled,Change triggered,None, This control checks whether AWS X-Ray active tracing is enabled for your Amazon API Gateway REST API stages. X-Ray active tracing enables a more rapid response to performance changes in the underlying infrastructure. Changes in performance could result in a lack of availability of the API. X-Ray active tracing provides real-time metrics of user requests that flow through your API Gateway REST API operations and connected services.
APIGateway.4,API Gateway should be associated with a WAF Web ACL,NIST.800-53.r5 AC-4(21),Protect > Protective services,Medium,AWS::ApiGateway::Stage,api-gw-associated-with-waf,Change triggered,None," This control checks whether an API Gateway stage uses an AWS WAF web access control list (ACL). This control fails if an AWS WAF web ACL is not attached to a REST API Gateway stage. AWS WAF is a web application firewall that helps protect web applications and APIs from attacks. It enables you to configure an ACL, which is a set of rules that allow, block, or count web requests based on customizable web security rules and conditions that you define. Ensure that your API Gateway stage is associated with an AWS WAF web ACL to help protect it from malicious attacks."
APIGateway.5,API Gateway REST API cache data should be encrypted at rest,"NIST.800-53.r5 CA-9(1), NIST.800-53.r5 CM-3(6), NIST.800-53.r5 SC-13, NIST.800-53.r5 SC-28, NIST.800-53.r5 SC-28(1), NIST.800-53.r5 SC-7(10), NIST.800-53.r5 SI-7(6)",Protect > Data protection > Encryption of data at rest,Medium,AWS::ApiGateway::Stage,api-gw-cache-encrypted   (custom Security Hub rule),Change triggered,None," This control checks whether all methods in API Gateway REST API stages that have cache enabled are encrypted. The control fails if any method in an API Gateway REST API stage is configured to cache and the cache is not encrypted. Security Hub evaluates the encryption of a particular method only when caching is enabled for that method. Encrypting data at rest reduces the risk of data stored on disk being accessed by a user not authenticated to AWS. It adds another set of access controls to limit unauthorized users ability access the data. For example, API permissions are required to decrypt the data before it can be read. API Gateway REST API caches should be encrypted at rest for an added layer of security."
APIGateway.8,API Gateway routes should specify an authorization type,"NIST.800-53.r5 AC-3, NIST.800-53.r5 CM-2, NIST.800-53.r5 CM-2(2)",Protect > Secure Access Management,Medium,AWS::ApiGatewayV2::Route,api-gwv2-authorization-type-configured,Periodic,," This control checks if Amazon API Gateway routes have an authorization type. The control fails if the API Gateway route doesn't have any authorization type. Optionally, you can provide a custom parameter value if you want the control to pass only if the route uses the authorization type specified in the   authorizationType   parameter. API Gateway supports multiple mechanisms for controlling and managing access to your API. By specifying an authorization type, you can restrict access to your API to only authorized users or processes."
APIGateway.9,Access logging should be configured for API Gateway V2 Stages,"NIST.800-53.r5 AC-4(26), NIST.800-53.r5 AU-10, NIST.800-53.r5 AU-12, NIST.800-53.r5 AU-2, NIST.800-53.r5 AU-3, NIST.800-53.r5 AU-6(3), NIST.800-53.r5 AU-6(4), NIST.800-53.r5 CA-7, NIST.800-53.r5 SC-7(9), NIST.800-53.r5 SI-7(8)",Identify > Logging,Medium,AWS::ApiGatewayV2::Stage,api-gwv2-access-logs-enabled,Change triggered,None," This control checks if Amazon API Gateway V2 stages have access logging configured. This control fails if access log settings aren't defined. API Gateway access logs provide detailed information about who has accessed your API and how the caller accessed the API. These logs are useful for applications such as security and access audits and forensics investigation. Enable these access logs to analyze traffic patterns and to troubleshoot issues. For additional best practices, see   Monitoring REST APIs   in the   API Gateway Developer Guide   ."
AppSync.2,AWS AppSync should have field-level logging enabled,,Identify > Logging,Medium,AWS::AppSync::GraphQLApi,appsync-logging-enabled,Change triggered,," This control checks whether an AWS AppSync API has field-level logging turned on. The control fails if the field resolver log level is set to   None   . Unless you provide custom parameter values to indicate that a specific log type should be enabled, Security Hub produces a passed finding if the field resolver log level is either   ERROR   or   ALL   . You can use logging and metrics to identify, troubleshoot, and optimize your GraphQL queries. Turning on logging for AWS AppSync GraphQL helps you get detailed information about API requests and responses, identify and respond to issues, and comply with regulatory requirements."
AppSync.5,AWS AppSync GraphQL APIs should not be authenticated with API keys,"NIST.800-53.r5 AC-2(1), NIST.800-53.r5 AC-3, NIST.800-53.r5 AC-3(15), NIST.800-53.r5 AC-3(7), NIST.800-53.r5 AC-6",Protect > Secure access management > Passwordless authentication,High,AWS::AppSync::GraphQLApi,appsync-authorization-check,Change triggered,," This control checks whether your application uses an API key to interact with an AWS AppSync GraphQL API. The control fails if an AWS AppSync GraphQL API is authenticated with an API key. An API key is a hard-coded value in your application that is generated by the AWS AppSync service when you create an unauthenticated GraphQL endpoint. If this API key is compromised, your endpoint is vulnerable to unintended access. Unless you are supporting a publicly accessible application or website, we don't recommend using an API key for authentication."
Athena.1,Athena workgroups should be encrypted at rest,"NIST.800-53.r5 CA-9(1), NIST.800-53.r5 CM-3(6), NIST.800-53.r5 SC-13, NIST.800-53.r5 SC-28, NIST.800-53.r5 SC-28(1), NIST.800-53.r5 SC-7(10), NIST.800-53.r5 SI-7(6)",Protect > Data protection > Encryption of data at rest,Medium,AWS::Athena::WorkGroup,athena-workgroup-encrypted-at-rest,Change triggered,None," This control checks if an Athena workgroup is encrypted at rest. The control fails if an Athena workgroup isnât encrypted at rest. In Athena, you can create workgroups for running queries for teams, applications, or different workloads. Each workgroup has a setting to enable encryption on all queries. You have the option to use server-side encryption with Amazon Simple Storage Service (Amazon S3) managed keys, server-side encryption with AWS Key Management Service (AWS KMS) keys, or client-side encryption with customer managed KMS keys. Data at rest refers to any data that's stored in persistent, non-volatile storage for any duration. Encryption helps you protect the confidentiality of such data, reducing the risk that an unauthorized user can access it."
AutoScaling.1,Auto Scaling groups associated with a Classic Load Balancer should use load balancer health checks,"PCI DSS v3.2.1/2.2, NIST.800-53.r5 CA-7, NIST.800-53.r5 CP-2(2), NIST.800-53.r5 SI-2",Identify > Inventory,Low,AWS::AutoScaling::AutoScalingGroup,autoscaling-group-elb-healthcheck-required,Change triggered,None, This control checks whether your Auto Scaling groups that are associated with a Classic Load Balancer are using Elastic Load Balancing health checks. This ensures that the group can determine an instance's health based on additional tests provided by the load balancer. Using Elastic Load Balancing health checks can help support the availability of applications that use EC2 Auto Scaling groups.
AutoScaling.2,Amazon EC2 Auto Scaling group should cover multiple Availability Zones,"NIST.800-53.r5 CP-10, NIST.800-53.r5 CP-2(2), NIST.800-53.r5 CP-6(2), NIST.800-53.r5 SC-36, NIST.800-53.r5 SC-5(2), NIST.800-53.r5 SI-13(5)",Recover > Resilience > High Availability,Medium,AWS::AutoScaling::AutoScalingGroup,autoscaling-multiple-az,Change triggered,," This control checks whether an Amazon EC2 Auto Scaling group spans at least the specified number of Availability Zones (AZs). The control fails if an Auto Scaling group doesn't span at least the specified number of AZs. Unless you provide a custom parameter value for the minimum number of AZs, Security Hub uses a default value of two AZs. An Auto Scaling group that doesn't span multiple AZs can't launch instances in another AZ to compensate if the configured single AZ becomes unavailable. However, an Auto Scaling group with a single Availability Zone may be preferred in some use cases, such as batch jobs or when inter-AZ transfer costs need to be kept to a minimum. In such cases, you can disable this control or suppress its findings."
AutoScaling.3,Auto Scaling group launch configurations should configure EC2 instances to require Instance Metadata Service Version 2 (IMDSv2),"NIST.800-53.r5 AC-3, NIST.800-53.r5 AC-3(15), NIST.800-53.r5 AC-3(7), NIST.800-53.r5 AC-6, NIST.800-53.r5 CA-9(1), NIST.800-53.r5 CM-2",Protect > Secure network configuration,High,AWS::AutoScaling::LaunchConfiguration,autoscaling-launchconfig-requires-imdsv2,Change triggered,None, This control checks whether IMDSv2 is enabled on all instances launched by Amazon EC2 Auto Scaling groups. The control fails if the Instance Metadata Service (IMDS) version is not included in the launch configuration or if both IMDSv1 and IMDSv2 are enabled. IMDS provides data about your instance that you can use to configure or manage the running instance. Version 2 of the IMDS adds new protections that weren't available in IMDSv1 to further safeguard your EC2 instances.
AutoScaling.4,Auto Scaling group launch configuration should not have a metadata response hop limit greater than 1,"NIST.800-53.r5 CA-9(1), NIST.800-53.r5 CM-2, NIST.800-53.r5 CM-2(2)",Protect > Secure network configuration,High,AWS::AutoScaling::LaunchConfiguration,autoscaling-launch-config-hop-limit,Change triggered,None," This control checks the number of network hops that a metadata token can travel. The control fails if the metadata response hop limit is greater than   1   . The Instance Metadata Service (IMDS) provides metadata information about an Amazon EC2 instance and is useful for application configuration. Restricting the HTTP   PUT   response for the metadata service to only the EC2 instance protects the IMDS from unauthorized use. The Time To Live (TTL) field in the IP packet is reduced by one on every hop. This reduction can be used to ensure that the packet does not travel outside EC2. IMDSv2 protects EC2 instances that may have been misconfigured as open routers, layer 3 firewalls, VPNs, tunnels, or NAT devices, which prevents unauthorized users from retrieving metadata. With IMDSv2, the   PUT   response that contains the secret token cannot travel outside the instance because the default metadata response hop limit is set to   1   . However, if this value is greater than   1   , the token can leave the EC2 instance."
Autoscaling.5,Amazon EC2 instances launched using Auto Scaling group launch configurations should not have Public IP addresses,"NIST.800-53.r5 AC-21, NIST.800-53.r5 AC-3, NIST.800-53.r5 AC-3(7), NIST.800-53.r5 AC-4, NIST.800-53.r5 AC-4(21), NIST.800-53.r5 AC-6, NIST.800-53.r5 SC-7, NIST.800-53.r5 SC-7(11), NIST.800-53.r5 SC-7(16), NIST.800-53.r5 SC-7(20), NIST.800-53.r5 SC-7(21), NIST.800-53.r5 SC-7(3), NIST.800-53.r5 SC-7(4), NIST.800-53.r5 SC-7(9)",Protect > Secure network configuration,High,AWS::AutoScaling::LaunchConfiguration,autoscaling-launch-config-public-ip-disabled,Change triggered,None," This control checks whether an Auto Scaling group's associated launch configuration assigns a   public IP address   to the group's instances. The control fails if the associated launch configuration assigns a public IP address. Amazon EC2 instances in an Auto Scaling group launch configuration should not have an associated public IP address, except for in limited edge cases. Amazon EC2 instances should only be accessible from behind a load balancer instead of being directly exposed to the internet."
AutoScaling.6,Auto Scaling groups should use multiple instance types in multiple Availability Zones,"NIST.800-53.r5 CP-10, NIST.800-53.r5 CP-2(2), NIST.800-53.r5 CP-6(2), NIST.800-53.r5 SC-36, NIST.800-53.r5 SC-5(2), NIST.800-53.r5 SI-13(5)",Recover > Resilience > High Availability,Medium,AWS::AutoScaling::AutoScalingGroup,autoscaling-multiple-instance-types,Change triggered,None, This control checks whether an Amazon EC2 Auto Scaling group uses multiple instance types. The control fails if the Auto Scaling group has only one instance type defined. You can enhance availability by deploying your application across multiple instance types running in multiple Availability Zones. Security Hub recommends using multiple instance types so that the Auto Scaling group can launch another instance type if there is insufficient instance capacity in your chosen Availability Zones.
AutoScaling.9,Amazon EC2 Auto Scaling groups should use Amazon EC2 launch templates,"NIST.800-53.r5 CA-9(1), NIST.800-53.r5 CM-2, NIST.800-53.r5 CM-2(2)",Identify > Resource Configuration,Medium,AWS::AutoScaling::AutoScalingGroup,autoscaling-launch-template,Change triggered,None," This control checks whether an Amazon EC2 Auto Scaling group is created from an EC2 launch template. This control fails if an Amazon EC2 Auto Scaling group is not created with a launch template or if a launch template is not specified in a mixed instances policy. An EC2 Auto Scaling group can be created from either an EC2 launch template or a launch configuration. However, using a launch template to create an Auto Scaling group ensures that you have access to the latest features and improvements."
Backup.1,AWS Backup recovery points should be encrypted at rest,"NIST.800-53.r5 CP-9(8), NIST.800-53.r5 SI-12",Protect > Data protection > Encryption of data-at-rest,Medium,AWS::Backup::RecoveryPoint,backup-recovery-point-encrypted,Change triggered,None," This control checks if an AWS Backup recovery point is encrypted at rest. The control fails if the recovery point isn't encrypted at rest. An AWS Backup recovery point refers to a specific copy or snapshot of data that is created as part of a backup process. It represents a particular moment in time when the data was backed up and serves as a restore point in case the original data becomes lost, corrupted, or inaccessible. Encrypting the backup recovery points adds an extra layer of protection against unauthorized access. Encryption is a best practice to protect the confidentiality, integrity, and security of backup data."
CloudFormation.1,CloudFormation stacks should be integrated with Simple Notification Service (SNS),"NIST.800-53.r5 SI-4(12), NIST.800-53.r5 SI-4(5)",Detect > Detection services > Application monitoring,Low,AWS::CloudFormation::Stack,cloudformation-stack-notification-check,Change triggered,None, This control checks whether an Amazon Simple Notification Service notification is integrated with an AWS CloudFormation stack. The control fails for a CloudFormation stack if no SNS notification is associated with it. Configuring an SNS notification with your CloudFormation stack helps immediately notify stakeholders of any events or changes occurring with the stack.
CloudFront.1,CloudFront distributions should have a default root object configured,"NIST.800-53.r5 SC-7(11), NIST.800-53.r5 SC-7(16)",Protect > Secure access management > Resources not publicly accessible,High,AWS::CloudFront::Distribution,cloudfront-default-root-object-configured,Change triggered,None," This control checks whether an Amazon CloudFront distribution is configured to return a specific object that is the default root object. The control fails if the CloudFront distribution does not have a default root object configured. A user might sometimes request the distribution's root URL instead of an object in the distribution. When this happens, specifying a default root object can help you to avoid exposing the contents of your web distribution."
CloudFront.3,CloudFront distributions should require encryption in transit,"NIST.800-53.r5 AC-17(2), NIST.800-53.r5 AC-4, NIST.800-53.r5 IA-5(1), NIST.800-53.r5 SC-12(3), NIST.800-53.r5 SC-13, NIST.800-53.r5 SC-23, NIST.800-53.r5 SC-23(3), NIST.800-53.r5 SC-7(4), NIST.800-53.r5 SC-8, NIST.800-53.r5 SC-8(1), NIST.800-53.r5 SC-8(2), NIST.800-53.r5 SI-7(6)",Protect > Data protection > Encryption of data in transit,Medium,AWS::CloudFront::Distribution,cloudfront-viewer-policy-https,Change triggered,None, This control checks whether an Amazon CloudFront distribution requires viewers to use HTTPS directly or whether it uses redirection. The control fails if   ViewerProtocolPolicy   is set to   allow-all   for   defaultCacheBehavior   or for   cacheBehaviors   . HTTPS (TLS) can be used to help prevent potential attackers from using person-in-the-middle or similar attacks to eavesdrop on or manipulate network traffic. Only encrypted connections over HTTPS (TLS) should be allowed. Encrypting data in transit can affect performance. You should test your application with this feature to understand the performance profile and the impact of TLS.
CloudFront.4,CloudFront distributions should have origin failover configured,"NIST.800-53.r5 CP-10, NIST.800-53.r5 SC-36, NIST.800-53.r5 SC-5(2), NIST.800-53.r5 SI-13(5)",Recover > Resilience > High availability,Low,AWS::CloudFront::Distribution,cloudfront-origin-failover-enabled,Change triggered,None, This control checks whether an Amazon CloudFront distribution is configured with an origin group that has two or more origins. CloudFront origin failover can increase availability. Origin failover automatically redirects traffic to a secondary origin if the primary origin is unavailable or if it returns specific HTTP response status codes.
CloudFront.5,CloudFront distributions should have logging enabled,"NIST.800-53.r5 AC-2(4), NIST.800-53.r5 AC-4(26), NIST.800-53.r5 AC-6(9), NIST.800-53.r5 AU-10, NIST.800-53.r5 AU-12, NIST.800-53.r5 AU-2, NIST.800-53.r5 AU-3, NIST.800-53.r5 AU-6(3), NIST.800-53.r5 AU-6(4), NIST.800-53.r5 CA-7, NIST.800-53.r5 SC-7(9), NIST.800-53.r5 SI-3(8), NIST.800-53.r5 SI-4(20), NIST.800-53.r5 SI-7(8)",Identify > Logging,Medium,AWS::CloudFront::Distribution,cloudfront-accesslogs-enabled,Change triggered,None," This control checks whether server access logging is enabled on CloudFront distributions. The control fails if access logging is not enabled for a distribution. CloudFront access logs provide detailed information about every user request that CloudFront receives. Each log contains information such as the date and time the request was received, the IP address of the viewer that made the request, the source of the request, and the port number of the request from the viewer. These logs are useful for applications such as security and access audits and forensics investigation. For additional guidance on how to analyze access logs, see   Querying Amazon CloudFront logs   in the   Amazon Athena User Guide   ."
CloudFront.6,CloudFront distributions should have WAF enabled,NIST.800-53.r5 AC-4(21),Protect > Protective services,Medium,AWS::CloudFront::Distribution,cloudfront-associated-with-waf,Change triggered,None," This control checks whether CloudFront distributions are associated with either AWS WAF Classic or AWS WAF web ACLs. The control fails if the distribution is not associated with a web ACL. AWS WAF is a web application firewall that helps protect web applications and APIs from attacks. It allows you to configure a set of rules, called a web access control list (web ACL), that allow, block, or count web requests based on customizable web security rules and conditions that you define. Ensure your CloudFront distribution is associated with an AWS WAF web ACL to help protect it from malicious attacks."
CloudFront.7,CloudFront distributions should use custom SSL/TLS certificates,"NIST.800-53.r5 AC-17(2), NIST.800-53.r5 AC-4, NIST.800-53.r5 IA-5(1), NIST.800-53.r5 SC-12(3), NIST.800-53.r5 SC-13, NIST.800-53.r5 SC-23, NIST.800-53.r5 SC-23(3), NIST.800-53.r5 SC-7(4), NIST.800-53.r5 SC-8, NIST.800-53.r5 SC-8(1), NIST.800-53.r5 SC-8(2), NIST.800-53.r5 SI-7(6)",Protect > Data protection > Encryption of data-in-transit,Medium,AWS::CloudFront::Distribution,cloudfront-custom-ssl-certificate,Change triggered,None," This control checks whether CloudFront distributions are using the default SSL/TLS certificate CloudFront provides. This control passes if the CloudFront distribution uses a custom SSL/TLS certificate. This control fails if the CloudFront distribution uses the default SSL/TLS certificate. Custom SSL/TLS allow your users to access content by using alternate domain names. You can store custom certificates in AWS Certificate Manager (recommended), or in IAM."
CloudFront.8,CloudFront distributions should use SNI to serve HTTPS requests,"NIST.800-53.r5 CA-9(1), NIST.800-53.r5 CM-2",Protect > Secure network configuration,Low,AWS::CloudFront::Distribution,cloudfront-sni-enabled,Change triggered,None," This control checks if Amazon CloudFront distributions are using a custom SSL/TLS certificate and are configured to use SNI to serve HTTPS requests. This control fails if a custom SSL/TLS certificate is associated but the SSL/TLS support method is a dedicated IP address. Server Name Indication (SNI) is an extension to the TLS protocol that is supported by browsers and clients released after 2010. If you configure CloudFront to serve HTTPS requests using SNI, CloudFront associates your alternate domain name with an IP address for each edge location. When a viewer submits an HTTPS request for your content, DNS routes the request to the IP address for the correct edge location. The IP address to your domain name is determined during the SSL/TLS handshake negotiation; the IP address isn't dedicated to your distribution."
CloudFront.9,CloudFront distributions should encrypt traffic to custom origins,"NIST.800-53.r5 AC-17(2), NIST.800-53.r5 AC-4, NIST.800-53.r5 IA-5(1), NIST.800-53.r5 SC-12(3), NIST.800-53.r5 SC-13, NIST.800-53.r5 SC-23, NIST.800-53.r5 SC-23(3), NIST.800-53.r5 SC-7(4), NIST.800-53.r5 SC-8, NIST.800-53.r5 SC-8(1), NIST.800-53.r5 SC-8(2), NIST.800-53.r5 SI-7(6)",Protect > Data protection > Encryption of data-in-transit,Medium,AWS::CloudFront::Distribution,cloudfront-traffic-to-origin-encrypted,Change triggered,None, This control checks if Amazon CloudFront distributions are encrypting traffic to custom origins. This control fails for a CloudFront distribution whose origin protocol policy allows 'http-only'. This control also fails if the distribution's origin protocol policy is 'match-viewer' while the viewer protocol policy is 'allow-all'. HTTPS (TLS) can be used to help prevent eavesdropping or manipulation of network traffic. Only encrypted connections over HTTPS (TLS) should be allowed.
CloudFront.10,CloudFront distributions should not use deprecated SSL protocols between edge locations and custom origins,"NIST.800-53.r5 AC-17(2), NIST.800-53.r5 AC-4, NIST.800-53.r5 IA-5(1), NIST.800-53.r5 SC-12(3), NIST.800-53.r5 SC-13, NIST.800-53.r5 SC-23, NIST.800-53.r5 SC-7(4), NIST.800-53.r5 SC-8, NIST.800-53.r5 SC-8(1), NIST.800-53.r5 SC-8(2), NIST.800-53.r5 SI-7(6)",Protect > Data protection > Encryption of data-in-transit,Medium,AWS::CloudFront::Distribution,cloudfront-no-deprecated-ssl-protocols,Change triggered,None," This control checks if Amazon CloudFront distributions are using deprecated SSL protocols for HTTPS communication between CloudFront edge locations and your custom origins. This control fails if a CloudFront distribution has a   CustomOriginConfig   where   OriginSslProtocols   includes   SSLv3   . In 2015, the Internet Engineering Task Force (IETF) officially announced that SSL 3.0 should be deprecated due to the protocol being insufficiently secure. It is recommended that you use TLSv1.2 or later for HTTPS communication to your custom origins."
